cnnaffinity,Smiles,h,enamine_id,enamine_searched
-6.06539,c1(c(nc(c(C(c2nn(c3c(c(c(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])[H])c(C(C(c3c(n(c(n3)[H])[H])[H])([H])[H])([H])[H])n2)([H])[H])c1[H])[H])[H])[H],6,PV-004397289084,False
0.0,C(=C(C([H])([H])[H])C(C(c1nc(c2c(c(c(nc2[H])[H])[H])[H])nn1c1c(c(nc2c(c(c(nc12)[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H],6,PV-005182351300,False
-6.35056,FC(F)(F)C(C(n1nc(c2c(c(c(nc2[H])[H])[H])[H])nc1C1(C(c2c(c(c(c(c2O1)[H])[H])[H])[H])([H])[H])[H])([H])[H])([H])[H],6,PV-004067911092,False
-5.12326,[H]c1nc([H])c(C(=S)C([H])([H])c2nc3c([H])c([H])c([H])c([H])c3n2[H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-c2nc([H])c(-c3sc(Cl)c([H])c3[H])n2[H])c([H])c1[H],6,,False
-4.91794,C(C(C([H])([H])[H])(C(N(C(=O)C(C(Sc1c(c(c(c(c1[H])[H])[H])[H])[H])([H])[H])([H])[H])[H])([H])[H])c1c(c(c(nc1[H])[H])[H])[H])([H])([H])[H],6,Z2350488441,False
-5.38728,[H]c1nc([H])c(-c2c([H])n(-c3c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c3[H])c(=S)n2[H])c([H])c1[H],6,,False
-5.60071,[H]c1nc([H])c(-c2nn3c([H])c([H])n(C([H])([H])N4C(=O)c5c([H])c([H])c([H])c([H])c5C4=O)c3c2[H])c([H])c1[H],6,,False
-4.56732,[H]C(=Nc1c([H])nc([H])c([H])c1[H])N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C1([H])[H],6,,False
-4.5222,[H]c1nc([H])c(-c2c([H])n([H])n(OC([H])([H])C(F)(F)F)c2=O)c([H])c1[H],6,,False
0.0,c1(c(nc(c(C(c2nn(C(C(c3c(c(nc(c3[H])[H])[H])[H])([H])[H])([H])[H])c(c3c(c(c4c(nn(c4c3[H])[H])[H])[H])[H])n2)([H])[H])c1[H])[H])[H])[H],6,PV-005507600596,False
-5.60141,C(c1nn(c2c(c(c(nc2[H])[H])[H])[H])c(c2c3nc(C([H])([H])[H])n(c3c(c(Cl)c2[H])[H])[H])n1)([H])([H])[H],6,PV-007068076893,False
-5.29824,[H]c1nc([H])c(-c2c([H])sc3nc(-c4nc5c([H])c([H])c([H])c([H])c5n4[H])nn23)c([H])c1[H],6,,False
-5.14065,c1(c(nc(c(n2nc(c(c2c2c(c(nc3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])[H])[H])c1[H])[H])[H])[H],6,PV-003142162590,False
-5.69082,C(C(C(N(c1c(c(c(Cl)c(c1N(C(=O)C(c1c(sc(c2c(c(c(nc2[H])[H])[H])[H])n1)[H])([H])[H])[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z1435978597,False
-5.12686,c1(c(nc(c(C2(C(C(C([N+]2(C(C(C(c2c(c(nc(c2[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])[H])c1[H])[H])[H])[H],6,Z2102372529,False
-5.0728,[H]O[C@@]([H])(c1c([H])nc([H])c([H])c1[H])C1(C([H])([H])c2c([H])c([H])nc([H])c2[H])C([H])([H])C([H])([H])C1([H])[H],6,,False
-5.50776,C(c1nc(SC(c2c(c(c(c(c2Cl)[H])[H])[H])[H])([H])[H])c(c(c2c(c(c(nc2[H])[H])[H])[H])n1)[H])([H])([H])[H],6,Z1840420371,False
-4.83435,C(Oc1c(c(Cl)c(c(c1C(=O)N(C(C(=O)N(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])[H])[H])[H])[H])([H])([H])[H],6,Z997361450,False
-4.94169,[H]C(=C(F)C([H])([H])c1c([H])c([H])c(Cl)c([H])c1[H])c1c([H])nc([H])c([H])c1[H],6,,False
-4.75606,[H]c1nc([H])c(C2(N([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.84824,[H]c1nc(N(c2c([H])nc([H])c([H])c2[H])C([H])([H])[H])nc(C(F)(F)F)c1[H],6,,False
-4.56678,[H]OC(=O)C(=O)C([H])=C(O[H])c1c([H])c([H])c(=O)n([H])c1-c1c([H])nc([H])c([H])c1[H],6,,False
-5.41076,[H]c1nc([H])c(-c2c(N([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])c([H])nn2[H])c([H])c1[H],6,,False
-5.11758,[H]c1nc([H])c(-c2noc([H])c2C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.94582,C(c1c(c(c2c(c(c(c(c3nc(C(c4c(c(c(nc4[H])[H])[H])[H])([H])[H])nn3C(C(F)([H])[H])([H])[H])c2n1)[H])[H])[H])[H])[H])([H])([H])[H],6,PV-003374085375,False
-4.78945,[H]OP(=O)(O[H])C(F)(F)c1c([H])c(-c2c([H])nc([H])c([H])c2[H])c([H])n([H])c1=O,6,,False
-3.94176,[H]c1nc([H])c(OS(=O)(=O)c2c([H])c([H])c([H])n2[H])c([H])c1[H],6,,False
-5.52281,[H]c1nc(C(=O)N([H])c2c([H])n(-c3c([H])nc([H])c([H])c3[H])c(=O)n([H])c2=O)c([H])c([H])c1[H],6,,False
-5.48023,[H]c1nc([H])c(-c2c([H])n(-c3c(OC([H])([H])[H])nc([H])c([H])c3[H])c(=S)n2[H])c([H])c1[H],6,,False
-6.34848,C(=C(C(n1nc(C(c2c(c(c(nc2[H])[H])[H])[H])([H])[H])nc1c1c(c(c(c2c1c(c(o2)[H])[H])[H])[H])[H])([H])[H])[H])([H])[H],6,PV-005087804027,False
-5.09643,[H]c1nc([H])c(N2C([H])([H])C([H])(C(=O)S(=O)(=O)c3c([H])c([H])c([H])c([H])c3[H])C2([H])[H])c([H])c1[H],6,,False
-4.84025,C(Oc1nc(c(c(c1C(N(C([H])([H])[H])c1nc(c2c(c(c(nc2[H])[H])[H])[H])c(s1)[H])([H])[H])[H])[H])[H])([H])([H])[H],6,PV-006990211931,False
-5.09981,[H]c1nc([H])c(-c2c([H])sc3nc(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])nn23)c([H])c1[H],6,,False
-5.79324,[H]c1nc([H])c(C#Cc2c(-c3c([H])nc([H])c([H])c3[H])nc3n2C([H])([H])C([H])([H])S3)c([H])c1[H],6,,False
-6.26396,C(=C(C(n1nc(c2c(c(c(nc2[H])[H])[H])[H])nc1c1c(nc(c2c(c(c(F)c(c12)[H])[H])[H])[H])[H])([H])[H])[H])([H])[H],6,PV-005148532565,False
-5.62506,[H]c1nc([H])c(-n2c([H])c(-c3nc4c([H])c([H])c([H])c([H])c4n3[H])c(=O)n([H])c2=O)c([H])c1[H],6,,False
-4.59637,[H]c1nc([H])c(Sc2nnnn2OC(F)(F)F)c([H])c1[H],6,,False
-4.57035,[H]C#CC([H])([H])Oc1c([H])nsc1-c1c([H])nc([H])c([H])c1[H],6,,False
-5.40718,[H]c1nc([H])c(N2C([H])([H])[C@]3([H])N(c4c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c4[H])C([H])([H])[C@@]2([H])C3([H])[H])c([H])c1[H],6,,False
-5.78243,[H]c1nc([H])c(N2[C@@]3([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])[C@]([H])(c2c([H])sc4c([H])c([H])c([H])c([H])c24)C3([H])[H])c([H])c1[H],6,,False
-6.12017,FC(F)(F)C(n1nc(C(c2c(c(c(nc2[H])[H])[H])[H])([H])[H])nc1c1c(nc2c(c(nc(c2c1[H])[H])[H])[H])[H])([H])[H],6,PV-005229227429,False
-5.41728,c1(c(c(c(n2nnc(c2C(N(c2c(c(c(nc2[H])[H])[H])[H])[H])([H])[H])[H])c(c1[H])[H])[H])[H])[H],6,PV-002278980800,False
-4.80289,C(C(c1c(c(c(c(c2nc(C([H])([H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])c1F)[H])[H])[H])([H])[H])([H])([H])[H],6,PV-006779685600,False
-5.53148,[H]C1=C(c2c([H])nc([H])c([H])c2[H])N([H])C(=S)N([H])[C@@]1([H])c1nc([H])c([H])c(C(F)(F)F)n1,6,,False
-6.79124,C(n1nc(c(c1C(C(c1nc(C(c2c(c(c(nc2[H])[H])[H])[H])([H])[H])nn1c1c(c(c(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])[H])([H])[H])([H])[H])[H])[H])([H])([H])[H],6,PV-005144149362,False
-5.392,[H]c1nc(N2C([H])([H])C([H])([H])N(c3snc([H])c3-c3c([H])nc([H])c([H])c3[H])C([H])([H])C2([H])[H])c([H])c([H])c1[H],6,,False
-5.08456,[H]c1nc([H])c(N([H])C(c2nc3c([H])c([H])c([H])c([H])c3n2[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,,False
-4.38803,C(C(C(N(C(=O)C(c1c(c(nc(O[H])c1Br)[H])[H])([H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])([H])[H],6,Z4352759011,False
-5.88258,[H]c1nc([H])c(Oc2c([H])nn([H])c2-c2nc3c([H])c([H])c([H])c([H])c3c([H])c2[H])c([H])c1[H],6,,False
-4.80011,[H]C(=C1SC(=O)N([H])C1=O)c1oc(-c2c([H])nc([H])c([H])c2[H])nc1[H],6,,False
-5.38037,[H]c1nc([H])c(N([H])C(=O)C(c2oc3c([H])c([H])c([H])c([H])c3c2[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,,False
-5.46439,[H]c1nc([H])c(-c2c([H])sc3nc(C([H])([H])c4c([H])c([H])nc([H])c4[H])nn23)c([H])c1[H],6,,False
-5.48968,[H]c1nc(S(=O)(=O)C(c2c([H])nc([H])c([H])c2[H])(C([H])([H])[H])C([H])([H])[H])nc(C(F)(F)F)c1[H],6,,False
-5.29509,[H]c1nc([H])c(-c2nc(-c3nc(C(F)(F)F)c([H])c([H])c3[H])nn2[H])c([H])c1[H],6,,False
-6.24402,FC(F)(C(n1nc(c2c(c(c(nc2[H])[H])[H])[H])nc1C1(C(C(C(c2c1nc(s2)[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])[H],6,PV-003188024466,False
