combo1,Smiles,h,enamine_id,enamine_searched
-0.7730951391949643,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c2C(C(C(C(c2no1)([H])[H])([H])[H])([H])[H])([H])[H],6,Z5539015335,False
-0.39346513749244144,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c2C(C(C(C(c2nn1[H])([H])[H])([H])[H])([H])[H])([H])[H],6,Z5539007416,False
-0.8373460568582517,C([C@@](N(c1c(c(nc2c(c(nc(c12)[H])[H])[H])[H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])([H])[H],6,Z1383600046,False
-0.8373688861493737,C(C(N(c1c(c(nc2c(c(nc(c12)[H])[H])[H])[H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])([H])[H],6,PV-002722063320,False
-0.7441756353869766,[H]c1nc([H])c([C@@]2([H])C(=O)N([H])C(=O)N2S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c1[H],6,,False
-0.49082379244891416,C(=C(C(N(c1nc(c(C(=O)N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c2c(c(c(nc2[H])[H])[H])[H])[H])[H])s1)[H])[H])([H])[H])[H])([H])[H],6,Z5539018408,False
-0.801960546919799,C(OC(C(N(c1nc(c(C(=O)N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c2c(c(c(nc2[H])[H])[H])[H])[H])[H])s1)[H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z5539021365,False
-0.4846581333393951,[H]c1nc([H])c(-c2nc(C([H])([H])n3c([H])nc([H])c3[H])c([H])o2)c([H])c1[H],6,,False
-0.2672347924015324,[H]C(=Nc1c([H])nc([H])c([H])c1[H])n1c(C([H])([H])[H])nc([H])c1[H],6,,False
-0.1760472494806826,C(OC(C([N+](C(c1c(c(c(nc1[H])[H])[H])[H])([H])[H])(C(c1c(c(F)c(OC([H])([H])[H])c(c1OC([H])([H])[H])[H])[H])([H])[H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z2480959172,False
-0.24426389099262846,[H]Oc1c([H])c([H])c([H])c(C(=C([H])[H])C([H])([H])c2c([H])nc([H])c([H])c2[H])c1[H],6,,False
-0.4866821282653877,[H]OC(=O)C([H])=C([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])c1c([H])nc([H])c([H])c1[H],6,,False
-0.4272824661295807,[H]c1nc([H])c(C2=C([C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])C([H])([H])C([H])([H])C2=O)c([H])c1[H],6,,False
-0.6884574625151587,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c(nc(N(C2(C(C2([H])[H])([H])[H])[H])[H])s1)[H],6,Z5539017533,False
-0.4513553492148279,[H]c1nc([H])c(C(=O)N([H])[C@]([H])(C([H])([H])[H])C([H])([H])c2nc([H])n([H])c2[H])c([H])c1[H],6,,False
-0.20244785875065371,[H]c1nc([H])c(-c2nn(-c3c([H])c([H])c(OC([H])([H])[H])c([H])c3OC([H])([H])[H])c([H])c([H])c2=O)c([H])c1[H],6,,False
